武將名	 編號	 屬國	加入年	加入月	加入日	已登場時期	 類型	 對話
劉度	184	1	200	11	4	4	4	4
全琮	72	3	200	3	4	4	4	4
夏侯尚	103	2	200	7	4	4	4	4
曹真	139	2	200	11	4	4	4	4
陸遜	43	3	200	2	4	4	4	4
凌統	44	3	200	10	4	4	4	4
曹丕	17	2	200	1	4	4	4	4
孫韶	112	3	200	5	4	4	4	4
李嚴	88	1	200	10	4	4	4	4
劉封	183	1	200	2	4	4	4	4
劉賢	189	1	200	6	4	4	4	4
馬忠	200	3	200	10	4	4	4	4
徐庶	8	1	200	2	4	4	4	4
司馬懿	27	2	200	1	4	4	4	4
諸葛亮	9	1	200	1	4	4	4	4
李恢	86	1	200	11	4	4	4	4
龐統	12	1	200	3	4	4	4	4
曹彰	142	2	200	10	4	4	4	4
馬良	121	1	200	3	4	4	4	4
馬稷	123	1	200	10	4	4	4	4
曹植	141	2	200	1	4	4	4	4
鄧芝	198	1	200	4	4	4	4	4
郭淮	149	2	200	7	4	4	4	4
楊儀	169	1	200	11	4	4	4	4
步騭	89	3	200	2	4	4	4	4
蔣琬	99	1	200	4	4	4	4	4
高翔	125	1	200	6	4	4	4	4
陳式	151	1	200	8	4	4	4	4
傅士仁	156	1	200	10	4	4	4	4
王伉	59	1	200	1	4	4	4	4
孫桓	108	3	200	6	4	4	4	4
董允	170	1	200	10	4	4	4	4
王平	58	2	200	2	4	4	4	4
費褘	163	1	200	7	4	4	4	4
呂凱	83	1	200	2	4	4	4	4
丁奉	46	3	200	7	4	4	4	4
王雙	64	2	200	1	4	4	4	4
趙累	180	1	200	10	4	4	4	4
張苞	4	1	200	2	4	4	4	4
關興	7	1	200	5	4	4	4	4
向寵	74	1	200	8	4	4	4	4
譙周	200	1	200	12	4	4	4	4
關索	200	1	200	1	4	4	4	4
文欽	54	2	200	7	4	4	4	4
桓範	114	2	200	7	5	5	5	5
劉禪	269	1	200	1	5	5	5	5
夏侯霸	104	2	200	1	5	5	5	5
鄧艾	199	2	200	4	5	5	5	5
周魴	94	3	200	7	5	5	5	5
曹叡	143	2	200	1	5	5	5	5
孫登	111	3	200	7	5	5	5	5
司馬師	68	2	200	1	5	5	5	5
姜維	15	2	200	1	5	5	5	5
夏侯玄	102	2	200	4	5	5	5	5
諸葛誕	198	2	200	7	5	5	5	5
孫和	106	3	200	9	5	5	5	5
賈充	175	2	200	11	5	5	5	5
司馬昭	67	2	200	1	5	5	5	5
石苞	70	2	200	1	5	5	5	5
曹芳	137	2	200	1	5	5	5	5
羊怙	79	2	200	1	5	5	5	5
孫休	105	3	200	1	5	5	5	5
孫亮	107	3	200	1	5	5	5	5
司馬炎	66	2	200	1	5	5	5	5
諸葛尚	197	1	200	1	5	5	5	5
司馬攸	65	2	200	1	5	5	5	5
曹奐	138	2	200	1	5	5	5	5
貂蟬	200	8	192	1	5	5	5	5
孫尚香	268	3	197	1	5	5	5	5
孫尚香1	270	7	200	1	1	1	1	1
孫尚香2	271	7	200	1	1	1	1	1
孫尚香3	272	7	200	1	1	1	1	1
孫尚香4	273	1	200	1	1	1	1	1
孫尚香4	274	1	200	1	1	1	1	1
孫尚香1	275	1	200	1	1	1	1	1
孫尚香2	276	1	200	1	1	1	1	1
孫尚香3	277	1	200	1	1	1	1	1
